Earth,x1,y1,Sun,x2,y2
,25455704.387276,-63974279.845970,,1161042.572111,2080842.255078
,26741177.648045,-64362950.186625,,1149257.681416,2088989.357899
,28019254.846591,-64732415.923625,,1137540.595930,2096960.397816
,29289826.697422,-65083222.965640,,1125892.317556,2104760.379582
,30552797.387965,-65415896.652280,,1114313.724680,2112394.119374
,31808083.400876,-65730942.625771,,1102805.582966,2119866.252792
,33055612.440004,-66028847.671609,,1091368.555207,2127181.242561
,34295322.450504,-66310080.527636,,1080003.210307,2134343.385950
,35527160.724509,-66575092.661357,,1068710.031478,2141356.821898
,36751083.084552,-66824319.015657,,1057489.423727,2148225.537849
,37967053.137691,-67058178.723287,,1046341.720695,2154953.376307
,39175041.593928,-67277075.790718,,1035267.190907,2161544.041100
,40375025.643122,-67481399.752085,,1024266.043479,2168001.103376
,41566988.385156,-67671526.294052,,1013338.433347,2174328.007336
,42750918.308593,-67847817.852533,,1002484.466045,2180528.075699
,43926808.813499,-68010624.182226,,991704.202081,2186604.514926
,45094657.774535,-68160282.899976,,980997.660937,2192560.420204
,46254467.140757,-68297120.002995,,970364.824747,2198398.780191
,47406242.568913,-68421450.362968,,959805.641649,2204122.481551
,48549993.087316,-68533578.197067,,949320.028876,2209734.313268
,49685730.787629,-68633797.516899,,938907.875574,2215236.970767
,50813470.542165,-68722392.556369,,928569.045396,2220633.059831
,51933229.744499,-68799638.179439,,918303.378884,2225925.100343
,53045028.071417,-68865800.268709,,908110.695645,2231115.529846
,54148887.264362,-68921136.095746,,897990.796360,2236206.706941
,55244830.928760,-68965894.674027,,887943.464620,2241200.914519
,56332884.349693,-69000317.095351,,877968.468618,2246100.362849
,57413074.322579,-69024636.850513,,868065.562700,2250907.192515
,58485428.997586,-69039080.135030,,858234.488793,2255623.477219
,59549977.736655,-69043866.140656,,848474.977714,2260251.226456
,60606750.982097,-69039207.333387,,838786.750375,2264792.388059
,61655780.135798,-69025309.718633,,829169.518893,2269248.850633
,62697097.448192,-69002373.094206,,819622.987603,2273622.445874
,63730735.916182,-68970591.291720,,810146.853998,2277914.950781
,64756729.189307,-68930152.406993,,800740.809588,2282128.089768
,65775111.483479,-68881239.020007,,791404.540690,2286263.536682
